time_stamp	x	y
1660822275.183902	1371	706
1660822275.1839557	1371	706
1660822275.1840098	1371	706
1660822275.1840627	1371	706
1660822275.1841152	1371	706
1660822275.1841683	1371	706
1660822275.184222	1371	706
1660822275.1842752	1371	706
1660822275.1843288	1371	706
1660822275.1843827	1371	706
1660822275.184436	1371	706
1660822275.18449	1371	706
1660822275.1845427	1371	706
1660822275.1845953	1371	706
1660822275.1846483	1371	706
1660822275.1847017	1371	706
1660822275.1847546	1371	706
1660822275.1848078	1371	706
1660822275.184883	1371	706
1660822275.1849403	1371	706
1660822275.1849947	1371	706
1660822275.185049	1371	706
1660822275.1851017	1371	706
1660822275.1851552	1371	706
1660822275.1852086	1371	706
1660822275.1852617	1371	706
1660822275.1853151	1371	706
1660822275.1853683	1371	706
1660822275.1854217	1371	706
1660822275.1854753	1371	706
1660822275.1855376	1371	706
1660822275.1855888	1371	706
1660822275.18564	1371	706
1660822275.185691	1371	706
1660822275.185742	1371	706
1660822275.185793	1371	706
1660822275.1858437	1371	706
1660822275.1858947	1371	706
1660822275.1859462	1371	706
1660822275.1859977	1371	706
1660822275.1860485	1371	706
1660822275.1860986	1371	706
1660822275.1862094	1371	706
1660822275.1862717	1371	706
1660822275.1863296	1371	706
1660822275.1863825	1371	706
1660822275.1864352	1371	706
1660822275.1864884	1371	706
1660822275.186541	1371	706
1660822275.1865933	1371	706
1660822275.1866455	1371	706
1660822275.1866984	1371	706
1660822275.1867504	1371	706
1660822275.1868021	1371	706
1660822275.1868536	1371	706
1660822275.1869054	1371	706
1660822275.1869574	1371	706
1660822275.187009	1371	706
1660822275.1870606	1371	706
1660822275.187112	1371	706
1660822275.187165	1371	706
1660822275.1872168	1371	706
1660822275.187268	1371	706
1660822275.1873193	1371	706
1660822275.1873708	1371	706
1660822275.1874213	1371	706
1660822275.1874726	1371	706
1660822275.1875243	1371	706
1660822275.1875758	1371	706
1660822275.187628	1371	706
1660822275.187679	1371	706
1660822275.1877298	1371	706
1660822275.187781	1371	706
1660822275.187832	1371	706
1660822275.187883	1371	706
1660822275.1879344	1371	706
1660822275.187986	1371	706
1660822275.1880374	1371	706
1660822275.1880891	1371	706
1660822275.1881406	1371	706
1660822275.1881917	1371	706
1660822275.1882427	1371	706
1660822275.188294	1371	706
1660822275.1883452	1371	706
1660822275.188396	1371	706
